Designator,Mid X,Mid Y,Rotation,Layer
C1,11.0,71.0,0.0,top
C2,101.2,28.5,0.0,top
J1,45.0,5.3,0.0,top
J10,55.025,28.025,90.0,top
J11,97.55,95.9,0.0,top
J12,46.3,81.0,270.0,top
J13,54.3,81.0,270.0,top
J14,73.12548,55.22452,0.0,top
J15,38.3,81.0,270.0,top
J16,30.3,81.0,270.0,top
J17,73.12548,46.22452,0.0,top
J18,6.3,81.0,270.0,top
J19,22.3,81.0,270.0,top
J2,17.025,38.025,90.0,top
J20,49.3,96.2,0.0,top
J21,14.3,81.0,270.0,top
J22,82.985,24.0,270.0,top
J23,152.3,3.7,0.0,top
J24,73.37548,64.52452,0.0,top
J25,73.37548,73.52452,0.0,top
J26,112.8,3.7,0.0,top
J27,152.3,20.9,0.0,top
J28,112.8,20.9,0.0,top
J29,114.55,95.9,0.0,top
J3,163.4,18.135,90.0,top
J30,134.8,95.9,0.0,top
J4,36.025,28.025,90.0,top
J5,22.0,5.3,0.0,top
J6,36.025,38.025,90.0,top
J7,17.025,28.025,90.0,top
J8,68.0,5.3,0.0,top
J9,55.025,38.025,90.0,top
JP1,85.6,5.0,270.0,top
R1,14.0,34.0,0.0,top
R2,33.0,34.0,0.0,top
R3,52.0,34.0,0.0,top
R4,43.0,34.0,0.0,top
R5,24.0,34.0,0.0,top
R6,62.0,34.0,0.0,top
U1,34.785,57.0,90.0,top
U2,121.23,33.52,90.0,top
